group_key,dataset_name,tier_size,n_runs
ag_news__tier30.0,ag_news,30,2
ag_news__tier50.0,ag_news,50,12
ag_news__tier5000.0,ag_news,5000,7
banking-10__tier200.0,banking-10,200,25
glue_sst2__tier30.0,glue_sst2,30,2
glue_sst2__tier872.0,glue_sst2,872,7
implicit_hate__tier200.0,implicit_hate,200,25
lex_glue_scotus__tier30.0,lex_glue_scotus,30,2
lex_glue_scotus__tier1400.0,lex_glue_scotus,1400,4
lex_scotus__tier50.0,lex_scotus,50,4
prosocial_dialogue__tier25.0,prosocial_dialogue,25,21
pubmed_20k_rct__tier200.0,pubmed_20k_rct,200,25
reward_bench__tier30.0,reward_bench,30,2
reward_bench__tier896.0,reward_bench,896,6
social_bias_frames__tier50.0,social_bias_frames,50,8
tweet_eval_irony__tier200.0,tweet_eval_irony,200,25
tweet_eval_sentiment__tier30.0,tweet_eval_sentiment,30,2
tweet_eval_sentiment__tier5000.0,tweet_eval_sentiment,5000,7
tweet_sentiment__tier50.0,tweet_sentiment,50,12
