,gemini_banking10_test200,multilabel_gemma4_31b_think_high_banking10_test2,gemma_26b_banking-10_test200,google_genai_gemma3_27b_banking-10_bs3_trainseed,google_genai_gemini31_flash_think_low_banking-10,emb_umap_head_xgb_banking-10_traintier5000_test2,emb_umap_head_knn_banking-10_traintier5000_test2,google_genai_gemma4_31b_think_high_banking-10_bs,self_debate_gemma4_31b_think_high_banking10_test,google_genai_gemini31_flash_think_high_banking-1,google_genai_gemma3_27b_banking-10_bs10_trainsee,gemma-4-31b-it_b5_banking-10_test200,google_genai_gemma3_27b_banking-10_bs5_trainseed,emb_umap_head_logreg_banking-10_traintier5000_te,setfit_banking-10_trainseed100_test200,google_genai_gemma3_4b_banking-10_bs3_trainseed1,google_genai_gemma3_4b_banking-10_bs10_trainseed,google_genai_gemma3_4b_banking-10_bs5_trainseed1,gemini_b5_banking-10_test200,gemma_banking-10_test200,gemini_b3_banking-10_test200
gemini_banking10_test200,1.0,0.9433841560934001,0.9559654547393113,0.9308077756849924,0.9559576283236172,0.9120090902634757,0.9308372704344429,0.9496765939299169,0.9371069182389937,0.9496640716647116,0.9496658609412768,0.9622252258661165,0.9559482329517173,0.9307831775036439,0.8932183540934738,0.8864333071932701,0.8992099081785181,0.9117206982543641,0.9559388335704125,0.8801069518716578,0.9433015375854215
multilabel_gemma4_31b_think_high_banking10_test2,0.9433841560934001,1.0,0.9748472360380844,0.9685612788632327,0.9748454487316137,0.9308765576738737,0.9497105515502362,0.9811354270285633,0.9937127024722933,0.98113274587834,0.9622695136248979,0.9685422813066505,0.9559748427672956,0.9182331829003945,0.8869370808048547,0.8991955577703424,0.8929981152875076,0.8866272863141413,0.9748382969649584,0.880281940835143,0.9496461719000036
gemma_26b_banking-10_test200,0.9559654547393113,0.9748472360380844,1.0,0.9496998330432311,0.9748427672955975,0.9308348134991119,0.94968732234224,0.9937102448384919,0.9685601619950975,0.9811314050174117,0.9559779712204655,0.9559670196886773,0.94968732234224,0.9307930188746312,0.886816583182351,0.8929752800995909,0.886744161245601,0.8866917988477132,0.9622614690309512,0.8740572079123381,0.9370890350097743
google_genai_gemma3_27b_banking-10_bs3_trainseed,0.9308077756849924,0.9685612788632327,0.9496998330432311,1.0,0.955979535280324,0.9183173588924387,0.9371471183551721,0.9559857904085257,0.9622802344166222,0.9496908974632274,0.9496891099662462,0.9496658609412768,0.9559701492537314,0.9056737840622446,0.8744458237276113,0.9054823780704877,0.8992923438000071,0.8866151820349478,0.9559638896787035,0.8676941695735744,0.9433438844826973
google_genai_gemini31_flash_think_low_banking-10,0.9559576283236172,0.9748454487316137,0.9748427672955975,0.955979535280324,1.0,0.918294155244656,0.9371270247229326,0.9811320754716981,0.9685612788632327,0.9811293933686343,0.9622574454474376,0.9811206712650217,0.9685433994455108,0.9307979385107518,0.8869130018102439,0.8991560730691166,0.8929714732873302,0.8991919695297761,0.9874155705652329,0.8802307774493394,0.9622252258661166
emb_umap_head_xgb_banking-10_traintier5000_test2,0.9120090902634757,0.9308765576738737,0.9308348134991119,0.9183173588924387,0.918294155244656,1.0,0.9748418733565489,0.9245497495648467,0.9245792202258363,0.9120090902634755,0.9183057587161826,0.9120434458524119,0.9120372013773029,0.9182535171237743,0.8741109530583215,0.849324300358245,0.8680838982148561,0.855540967318406,0.918323157745279,0.8429904552389739,0.893252447850149
emb_umap_head_knn_banking-10_traintier5000_test2,0.9308372704344429,0.9497105515502362,0.94968732234224,0.9371471183551721,0.9371270247229326,0.9748418733565489,1.0,0.9434022596461309,0.9434183419762734,0.9308397271952259,0.9371337240277038,0.9308544640954614,0.9308544640954614,0.9433579860617266,0.8930209407331035,0.8680276939463873,0.8868286445012787,0.8742719136240943,0.9371404219049648,0.8616941928609483,0.9120247097667483
google_genai_gemma4_31b_think_high_banking-10_bs,0.9496765939299169,0.9811354270285633,0.9937102448384919,0.9559857904085257,0.9811320754716981,0.9245497495648467,0.9434022596461309,1.0,0.974848129596078,0.9874209366782745,0.9622668324746847,0.9622574454474376,0.95597640704946,0.9245122081245335,0.8868286445012787,0.8992744344857021,0.8930323498044792,0.8929828929117616,0.9685512241924594,0.8803628601921025,0.9433801315087968
self_debate_gemma4_31b_think_high_banking10_test,0.9371069182389937,0.9937127024722933,0.9685601619950975,0.9622802344166222,0.9685612788632327,0.9245792202258363,0.9434183419762734,0.974848129596078,1.0,0.9748472360380844,0.9559889173060528,0.9622628100348234,0.9496980461811723,0.9119465567479212,0.8806007242774977,0.8929828929117616,0.8993353001812818,0.8804054054054054,0.9685568109145172,0.8740751280591919,0.9433821438726187
google_genai_gemini31_flash_think_high_banking-1,0.9496640716647116,0.98113274587834,0.9811314050174117,0.9496908974632274,0.9811293933686343,0.9120090902634755,0.9308397271952259,0.9874209366782745,0.9748472360380844,1.0,0.9685501066098081,0.9622413425300433,0.9622547625817458,0.9245068420117292,0.8806261536277155,0.9054621848739496,0.8992672689763107,0.8928914676253871,0.9685400447904448,0.8865344207414794,0.9433378387991748
google_genai_gemma3_27b_banking-10_bs10_trainsee,0.9496658609412768,0.9622695136248979,0.9559779712204655,0.9496891099662462,0.9622574454474376,0.9183057587161826,0.9371337240277038,0.9622668324746847,0.9559889173060528,0.9685501066098081,1.0,0.9559466666666667,0.9811240268742668,0.9182186522604492,0.8869451048578829,0.9180351227157767,0.911846318036286,0.9054722825506463,0.9622440273037542,0.8991165574237675,0.9370330843116329
gemma-4-31b-it_b5_banking-10_test200,0.9622252258661165,0.9685422813066505,0.9559670196886773,0.9496658609412768,0.9811206712650217,0.9120434458524119,0.9308544640954614,0.9622574454474376,0.9622628100348234,0.9622413425300433,0.9559466666666667,1.0,0.9622279129321383,0.9119121254132452,0.8807615941001277,0.905259777333714,0.9117584217648316,0.9179532893563915,0.993702860395617,0.898940156300182,0.9810850283190254
google_genai_gemma3_27b_banking-10_bs5_trainseed,0.9559482329517173,0.9559748427672956,0.94968732234224,0.9559701492537314,0.9685433994455108,0.9120372013773029,0.9308544640954614,0.95597640704946,0.9496980461811723,0.9622547625817458,0.9811240268742668,0.9622279129321383,1.0,0.9245068420117292,0.8807193019791445,0.9116577540106952,0.9055092889173606,0.9117175531725391,0.9685277382645804,0.8801112259812485,0.9558996262680193
emb_umap_head_logreg_banking-10_traintier5000_te,0.9307831775036439,0.9182331829003945,0.9307930188746312,0.9056737840622446,0.9307979385107518,0.9182535171237743,0.9433579860617266,0.9245122081245335,0.9119465567479212,0.9245068420117292,0.9182186522604492,0.9119121254132452,0.9245068420117292,1.0,0.8427393560309901,0.8488471391972673,0.8740751280591919,0.8740527270786637,0.9182099313972915,0.8424874523902752,0.8930247440273038
setfit_banking-10_trainseed100_test200,0.8932183540934738,0.8869370808048547,0.886816583182351,0.8744458237276113,0.8869130018102439,0.8741109530583215,0.8930209407331035,0.8868286445012787,0.8806007242774977,0.8806261536277155,0.8869451048578829,0.8807615941001277,0.8807193019791445,0.8427393560309901,1.0,0.8246656760772659,0.8243362988693156,0.8307899302482031,0.8870172701159615,0.8056942526293424,0.8621251283503877
google_genai_gemma3_4b_banking-10_bs3_trainseed1,0.8864333071932701,0.8991955577703424,0.8929752800995909,0.9054823780704877,0.8991560730691166,0.849324300358245,0.8680276939463873,0.8992744344857021,0.8929828929117616,0.9054621848739496,0.9180351227157767,0.905259777333714,0.9116577540106952,0.8488471391972673,0.8246656760772659,1.0,0.9114209115281501,0.9301975406015847,0.9116167920961586,0.9618465960122149,0.9240207476301199
google_genai_gemma3_4b_banking-10_bs10_trainseed,0.8992099081785181,0.8929981152875076,0.886744161245601,0.8992923438000071,0.8929714732873302,0.8680838982148561,0.8868286445012787,0.8930323498044792,0.8993353001812818,0.8992672689763107,0.911846318036286,0.9117584217648316,0.9055092889173606,0.8740751280591919,0.8243362988693156,0.9114209115281501,1.0,0.9431152692472504,0.9054823780704877,0.9050904411239007,0.9179562147899879
google_genai_gemma3_4b_banking-10_bs5_trainseed1,0.9117206982543641,0.8866272863141413,0.8866917988477132,0.8866151820349478,0.8991919695297761,0.855540967318406,0.8742719136240943,0.8929828929117616,0.8804054054054054,0.8928914676253871,0.9054722825506463,0.9179532893563915,0.9117175531725391,0.8740527270786637,0.8307899302482031,0.9301975406015847,0.9431152692472504,1.0,0.911679794703639,0.9238600516203039,0.9241184666499946
gemini_b5_banking-10_test200,0.9559388335704125,0.9748382969649584,0.9622614690309512,0.9559638896787035,0.9874155705652329,0.918323157745279,0.9371404219049648,0.9685512241924594,0.9685568109145172,0.9685400447904448,0.9622440273037542,0.993702860395617,0.9685277382645804,0.9182099313972915,0.8870172701159615,0.9116167920961586,0.9054823780704877,0.911679794703639,1.0,0.8926775332596212,0.9747899159663865
gemma_banking-10_test200,0.8801069518716578,0.880281940835143,0.8740572079123381,0.8676941695735744,0.8802307774493394,0.8429904552389739,0.8616941928609483,0.8803628601921025,0.8740751280591919,0.8865344207414794,0.8991165574237675,0.898940156300182,0.8801112259812485,0.8424874523902752,0.8056942526293424,0.9618465960122149,0.9050904411239007,0.9238600516203039,0.8926775332596212,1.0,0.9050429184549357
gemini_b3_banking-10_test200,0.9433015375854215,0.9496461719000036,0.9370890350097743,0.9433438844826973,0.9622252258661166,0.893252447850149,0.9120247097667483,0.9433801315087968,0.9433821438726187,0.9433378387991748,0.9370330843116329,0.9810850283190254,0.9558996262680193,0.8930247440273038,0.8621251283503877,0.9240207476301199,0.9179562147899879,0.9241184666499946,0.9747899159663865,0.9050429184549357,1.0
