model_a,model_b,both_correct,a_only,b_only,both_wrong,disagreements,p_value_exact
setfit_banking-10_trainseed100_test200,gemma_banking-10_test200,145,18,9,5,27,0.12207812070846558
emb_umap_head_xgb_banking-10_traintier5000_test2,gemma_banking-10_test200,148,19,6,4,25,0.01463329792022705
emb_umap_head_xgb_banking-10_traintier5000_test2,google_genai_gemma3_4b_banking-10_bs3_trainseed1,150,17,7,3,24,0.06391465663909912
setfit_banking-10_trainseed100_test200,google_genai_gemma3_4b_banking-10_bs5_trainseed1,148,15,9,5,24,0.30745625495910645
setfit_banking-10_trainseed100_test200,google_genai_gemma3_4b_banking-10_bs3_trainseed1,148,15,9,5,24,0.30745625495910645
emb_umap_head_logreg_banking-10_traintier5000_te,gemma_banking-10_test200,147,17,7,6,24,0.06391465663909912
setfit_banking-10_trainseed100_test200,google_genai_gemma3_4b_banking-10_bs10_trainseed,148,15,9,5,24,0.30745625495910645
emb_umap_head_logreg_banking-10_traintier5000_te,google_genai_gemma3_4b_banking-10_bs3_trainseed1,149,15,8,5,23,0.21003961563110352
emb_umap_head_logreg_banking-10_traintier5000_te,setfit_banking-10_trainseed100_test200,152,12,11,2,23,1.0
emb_umap_head_xgb_banking-10_traintier5000_test2,google_genai_gemma3_4b_banking-10_bs5_trainseed1,151,16,6,4,22,0.052478790283203125
emb_umap_head_knn_banking-10_traintier5000_test2,gemma_banking-10_test200,151,19,3,4,22,0.0008554458618164062
emb_umap_head_knn_banking-10_traintier5000_test2,google_genai_gemma3_4b_banking-10_bs3_trainseed1,153,17,4,3,21,0.007197380065917969
gemma_26b_banking-10_test200,gemma_banking-10_test200,152,18,2,5,20,0.0004024505615234375
emb_umap_head_xgb_banking-10_traintier5000_test2,google_genai_gemma3_4b_banking-10_bs10_trainseed,152,15,5,5,20,0.04138946533203125
google_genai_gemma3_27b_banking-10_bs3_trainseed,gemma_banking-10_test200,151,17,3,6,20,0.0025768280029296875
gemini_banking10_test200,gemma_banking-10_test200,153,18,1,5,19,7.62939453125e-05
google_genai_gemma4_31b_think_high_banking-10_bs,gemma_banking-10_test200,152,17,2,6,19,0.000728607177734375
emb_umap_head_knn_banking-10_traintier5000_test2,google_genai_gemma3_4b_banking-10_bs5_trainseed1,154,16,3,4,19,0.004425048828125
self_debate_gemma4_31b_think_high_banking10_test,gemma_banking-10_test200,152,17,2,6,19,0.000728607177734375
emb_umap_head_logreg_banking-10_traintier5000_te,google_genai_gemma3_4b_banking-10_bs10_trainseed,151,13,6,7,19,0.1670684814453125
setfit_banking-10_trainseed100_test200,gemini_b3_banking-10_test200,154,9,10,4,19,1.0
emb_umap_head_logreg_banking-10_traintier5000_te,google_genai_gemma3_4b_banking-10_bs5_trainseed1,151,13,6,7,19,0.1670684814453125
google_genai_gemini31_flash_think_low_banking-10,gemma_banking-10_test200,152,16,2,7,18,0.001312255859375
multilabel_gemma4_31b_think_high_banking10_test2,gemma_banking-10_test200,153,17,1,6,18,0.00014495849609375
gemini_banking10_test200,google_genai_gemma3_4b_banking-10_bs3_trainseed1,155,16,2,4,18,0.001312255859375
emb_umap_head_xgb_banking-10_traintier5000_test2,setfit_banking-10_trainseed100_test200,156,11,7,3,18,0.480682373046875
google_genai_gemma3_27b_banking-10_bs5_trainseed,gemma_banking-10_test200,151,15,3,8,18,0.007537841796875
self_debate_gemma4_31b_think_high_banking10_test,google_genai_gemma3_4b_banking-10_bs5_trainseed1,154,15,3,5,18,0.007537841796875
google_genai_gemini31_flash_think_high_banking-1,gemma_banking-10_test200,152,15,2,8,17,0.002349853515625
gemma_26b_banking-10_test200,setfit_banking-10_trainseed100_test200,158,12,5,2,17,0.143463134765625
gemma_26b_banking-10_test200,google_genai_gemma3_4b_banking-10_bs5_trainseed1,155,15,2,5,17,0.002349853515625
multilabel_gemma4_31b_think_high_banking10_test2,google_genai_gemma3_4b_banking-10_bs5_trainseed1,155,15,2,5,17,0.002349853515625
emb_umap_head_xgb_banking-10_traintier5000_test2,gemini_b3_banking-10_test200,157,10,7,3,17,0.629058837890625
emb_umap_head_knn_banking-10_traintier5000_test2,google_genai_gemma3_4b_banking-10_bs10_trainseed,155,15,2,5,17,0.002349853515625
google_genai_gemma3_27b_banking-10_bs3_trainseed,setfit_banking-10_trainseed100_test200,157,11,6,3,17,0.332305908203125
google_genai_gemma3_27b_banking-10_bs3_trainseed,google_genai_gemma3_4b_banking-10_bs5_trainseed1,154,14,3,6,17,0.012725830078125
gemma_26b_banking-10_test200,google_genai_gemma3_4b_banking-10_bs10_trainseed,155,15,2,5,17,0.002349853515625
gemma_26b_banking-10_test200,google_genai_gemma3_4b_banking-10_bs3_trainseed1,155,15,2,5,17,0.002349853515625
self_debate_gemma4_31b_think_high_banking10_test,setfit_banking-10_trainseed100_test200,158,11,5,3,16,0.210113525390625
google_genai_gemma4_31b_think_high_banking-10_bs,google_genai_gemma3_4b_banking-10_bs10_trainseed,155,14,2,6,16,0.004180908203125
google_genai_gemma4_31b_think_high_banking-10_bs,google_genai_gemma3_4b_banking-10_bs5_trainseed1,155,14,2,6,16,0.004180908203125
self_debate_gemma4_31b_think_high_banking10_test,google_genai_gemma3_4b_banking-10_bs3_trainseed1,155,14,2,6,16,0.004180908203125
google_genai_gemma4_31b_think_high_banking-10_bs,google_genai_gemma3_4b_banking-10_bs3_trainseed1,155,14,2,6,16,0.004180908203125
google_genai_gemma4_31b_think_high_banking-10_bs,setfit_banking-10_trainseed100_test200,158,11,5,3,16,0.210113525390625
gemini_banking10_test200,google_genai_gemma3_4b_banking-10_bs10_trainseed,156,15,1,5,16,0.000518798828125
gemini_b5_banking-10_test200,gemma_banking-10_test200,153,15,1,8,16,0.000518798828125
emb_umap_head_logreg_banking-10_traintier5000_te,gemini_b3_banking-10_test200,156,8,8,5,16,1.0
google_genai_gemini31_flash_think_high_banking-1,setfit_banking-10_trainseed100_test200,157,10,6,4,16,0.454498291015625
google_genai_gemini31_flash_think_high_banking-1,google_genai_gemma3_4b_banking-10_bs5_trainseed1,154,13,3,7,16,0.021270751953125
gemma-4-31b-it_b5_banking-10_test200,setfit_banking-10_trainseed100_test200,157,10,6,4,16,0.454498291015625
gemini_banking10_test200,setfit_banking-10_trainseed100_test200,159,12,4,2,16,0.076812744140625
google_genai_gemini31_flash_think_low_banking-10,setfit_banking-10_trainseed100_test200,158,10,5,4,15,0.30175781249999994
google_genai_gemini31_flash_think_low_banking-10,google_genai_gemma3_4b_banking-10_bs3_trainseed1,155,13,2,7,15,0.00738525390625
