,google_genai_gemini31_flash_think_low_implicit_h,multilabel_gemini31_flash_think_high_implicit_ha,google_genai_gemma4_31b_think_high_implicit_hate,google_genai_gemini31_flash_think_high_implicit_,self_debate_gemini31_flash_think_high_implicit_h,google_genai_gemma3_27b_implicit_hate_bs10_train,google_genai_gemma3_27b_implicit_hate_bs5_trains,google_genai_gemma3_27b_implicit_hate_bs3_trains,setfit_implicit_hate_trainseed100_test200,google_genai_gemma3_4b_implicit_hate_bs3_trainse,google_genai_gemma3_4b_implicit_hate_bs10_trains,emb_umap_head_xgb_implicit_hate_traintier5000_te,emb_umap_head_knn_implicit_hate_traintier5000_te,gemma_implicit_hate_test200,google_genai_gemma3_4b_implicit_hate_bs5_trainse,emb_umap_head_knn_implicit_hate_trainseed100_tes,emb_umap_head_xgb_implicit_hate_trainseed100_tes,tfidf_xgb_implicit_hate_test200,emb_umap_head_logreg_implicit_hate_trainseed100_,emb_umap_head_logreg_implicit_hate_traintier5000,svm_implicit_hate_test200
google_genai_gemini31_flash_think_low_implicit_h,1.0,0.8996596643586433,0.7708082026537997,0.8652163632064318,0.8536209553158706,0.5766129032258064,0.5694107726362391,0.5334865740257027,0.33811475409836056,0.2991803278688524,0.31916826486322813,0.26655830963023164,0.21996958945767864,0.17139119058002628,0.2362282878411911,0.16555279740309325,0.17709335899903766,0.052483780381524126,0.09301446261461377,0.03799787829105983,0.03389830508474578
multilabel_gemini31_flash_think_high_implicit_ha,0.8996596643586433,1.0,0.8491142333536958,0.8979348215351558,0.8862684065605172,0.5090180360721444,0.5027739976970586,0.46833868794693745,0.31626964014191583,0.277749619868221,0.29931226951061507,0.2847103704447346,0.2388582874311468,0.162950070705972,0.21955990220048893,0.15504166276565867,0.1473783656117148,0.060211167126415055,0.0676789186186465,0.010510368336331677,0.03173893607510048
google_genai_gemma4_31b_think_high_implicit_hate,0.7708082026537997,0.8491142333536958,1.0,0.8118811881188119,0.8464885021752642,0.43137254901960786,0.4277692700357325,0.3975842979365878,0.2956097560975609,0.22146341463414632,0.24868985231062424,0.25024061597690095,0.22541966426858506,0.09816612729234075,0.18004640371229708,0.1197552447552448,0.09203539823008844,0.058061634658329586,0.04304778303917356,0.06391478029294262,0.024640657084188944
google_genai_gemini31_flash_think_high_implicit_,0.8652163632064318,0.8979348215351558,0.8118811881188119,1.0,0.9425565364614826,0.4621513944223108,0.4568042416051564,0.4433021486583736,0.2948846539618857,0.25677031093279834,0.2799488138596319,0.24588211946814842,0.2196932211776349,0.11330583894074242,0.22168674698795188,0.12747979426891998,0.13636363636363646,0.03215253762033832,0.0606005624603102,0.019343439040267807,0.029681361850720123
self_debate_gemini31_flash_think_high_implicit_h,0.8536209553158706,0.8862684065605172,0.8464885021752642,0.9425565364614826,1.0,0.47316103379721663,0.46789752100404525,0.43504562698656835,0.3068465767116443,0.23088455772113947,0.2549750024507401,0.2581793021646732,0.19467718087727937,0.1448866717275783,0.19808153477218216,0.1416446107511179,0.15029967727063165,0.011244308149800153,0.07542579075425793,0.033928076176389044,0.02901689042875688
google_genai_gemma3_27b_implicit_hate_bs10_train,0.5766129032258064,0.5090180360721444,0.43137254901960786,0.4621513944223108,0.47316103379721663,1.0,0.944812362030905,0.8997772828507795,0.4545454545454546,0.5681818181818181,0.5727482678983833,0.42660550458715596,0.29885057471264365,0.16666666666666663,0.44705882352941173,0.2857142857142856,0.24390243902439024,-0.004842615012106588,0.18952618453865322,-0.058394160583941535,0.0
google_genai_gemma3_27b_implicit_hate_bs5_trains,0.5694107726362391,0.5027739976970586,0.4277692700357325,0.4568042416051564,0.46789752100404525,0.944812362030905,1.0,0.9100910919200283,0.43609933373712895,0.5511811023622046,0.6012837921244291,0.4300232643565569,0.323511356660528,0.1968211024687183,0.4485804416403786,0.27867323831090984,0.23699802501645817,-0.04163947265370038,0.17804515344058403,-0.047656557699881974,-0.024840312278211485
google_genai_gemma3_27b_implicit_hate_bs3_trains,0.5334865740257027,0.46833868794693745,0.3975842979365878,0.4433021486583736,0.43504562698656835,0.8997772828507795,0.9100910919200283,1.0,0.4263709180529883,0.5668515095502156,0.6646917937728476,0.4426413681188366,0.3575453976205385,0.19427795996833652,0.5080906148867314,0.2774166781911216,0.2358554873892298,-0.025225954404424655,0.170539360653429,-0.10990354571389749,0.00523560209424101
setfit_implicit_hate_trainseed100_test200,0.33811475409836056,0.31626964014191583,0.2956097560975609,0.2948846539618857,0.3068465767116443,0.4545454545454546,0.43609933373712895,0.4263709180529883,1.0,0.3423076923076923,0.30840502978160156,0.4046997389033943,0.41442622950819663,0.1560364464692483,0.2556701030927835,0.2526475037821483,0.24,0.07148067104303435,0.2175602175602176,0.08990420044215175,0.04595744680851055
google_genai_gemma3_4b_implicit_hate_bs3_trainse,0.2991803278688524,0.277749619868221,0.22146341463414632,0.25677031093279834,0.23088455772113947,0.5681818181818181,0.5511811023622046,0.5668515095502156,0.3423076923076923,1.0,0.6604897418927862,0.28067885117493474,0.2649180327868852,0.17767653758542135,0.5951890034364261,0.19515885022692891,0.24,-0.011670313639678964,0.12898212898212902,-0.13411938098747234,-0.051063829787234116
google_genai_gemma3_4b_implicit_hate_bs10_trains,0.31916826486322813,0.29931226951061507,0.24868985231062424,0.2799488138596319,0.2549750024507401,0.5727482678983833,0.6012837921244291,0.6646917937728476,0.30840502978160156,0.6604897418927862,1.0,0.24123460132665497,0.2756977535738597,0.1839422746535334,0.7256317689530686,0.2712583646156358,0.13979348689436055,-0.006073820277215258,0.13300659117796176,-0.16932302351270323,-0.05052430886558623
emb_umap_head_xgb_implicit_hate_traintier5000_te,0.26655830963023164,0.2847103704447346,0.25024061597690095,0.24588211946814842,0.2581793021646732,0.42660550458715596,0.4300232643565569,0.4426413681188366,0.4046997389033943,0.28067885117493474,0.24123460132665497,1.0,0.6309444072337576,0.17504570383912244,0.2346289752650177,0.3400694663719609,0.23882896764252692,0.036627818979869886,0.21078351523049355,0.0542196354725073,0.018132366273798772
emb_umap_head_knn_implicit_hate_traintier5000_te,0.21996958945767864,0.2388582874311468,0.22541966426858506,0.2196932211776349,0.19467718087727937,0.29885057471264365,0.323511356660528,0.3575453976205385,0.41442622950819663,0.2649180327868852,0.2756977535738597,0.6309444072337576,1.0,0.12006861063464835,0.29679715302491105,0.3176376695929768,0.0980544747081713,0.07104660045836508,0.18549051937345418,0.05955143078112923,0.01935483870967747
gemma_implicit_hate_test200,0.17139119058002628,0.162950070705972,0.09816612729234075,0.11330583894074242,0.1448866717275783,0.16666666666666663,0.1968211024687183,0.19427795996833652,0.1560364464692483,0.17767653758542135,0.1839422746535334,0.17504570383912244,0.12006861063464835,1.0,0.17867435158501443,0.11027862327323812,0.09101516919486585,0.08217902456058668,0.14011990125778762,0.10283315844700958,-0.029779630732578832
google_genai_gemma3_4b_implicit_hate_bs5_trainse,0.2362282878411911,0.21955990220048893,0.18004640371229708,0.22168674698795188,0.19808153477218216,0.44705882352941173,0.4485804416403786,0.5080906148867314,0.2556701030927835,0.5951890034364261,0.7256317689530686,0.2346289752650177,0.29679715302491105,0.17867435158501443,1.0,0.26726457399103143,0.09523809523809512,-0.026160337552742607,0.03661971830985922,-0.1742489270386267,-0.04972375690607733
emb_umap_head_knn_implicit_hate_trainseed100_tes,0.16555279740309325,0.15504166276565867,0.1197552447552448,0.12747979426891998,0.1416446107511179,0.2857142857142856,0.27867323831090984,0.2774166781911216,0.2526475037821483,0.19515885022692891,0.2712583646156358,0.3400694663719609,0.3176376695929768,0.11027862327323812,0.26726457399103143,1.0,0.3722466960352423,0.05940594059405935,0.3939780556264353,0.031243219787372434,0.02131438721136758
