group_key=implicit_hate__tier200.0
dataset_name=implicit_hate
tier_size=200
runs_with_predictions=25
items_intersection=190

Top McNemar pairs (exact two-sided p):
                                         model_a                                          model_b  both_correct  a_only  b_only  both_wrong  disagreements  p_value_exact
google_genai_gemma4_31b_think_high_implicit_hate                        svm_implicit_hate_test200            48      98      27          17            125   1.178445e-10
self_debate_gemini31_flash_think_high_implicit_h                        svm_implicit_hate_test200            50      93      25          22            118   2.127356e-10
google_genai_gemini31_flash_think_high_implicit_                        svm_implicit_hate_test200            51      93      24          22            117   8.889484e-11
google_genai_gemma4_31b_think_high_implicit_hate emb_umap_head_logreg_implicit_hate_trainseed100_            57      89      28          16            117   1.366127e-08
multilabel_gemini31_flash_think_high_implicit_ha                        svm_implicit_hate_test200            53      92      22          23            114   2.283186e-11
self_debate_gemini31_flash_think_high_implicit_h                  tfidf_xgb_implicit_hate_test200            59      84      28          19            112   1.110700e-07
google_genai_gemini31_flash_think_high_implicit_ emb_umap_head_logreg_implicit_hate_traintier5000            54      90      21          25            111   2.314466e-11
google_genai_gemma4_31b_think_high_implicit_hate emb_umap_head_logreg_implicit_hate_traintier5000            55      91      20          24            111   5.252559e-12
google_genai_gemini31_flash_think_low_implicit_h                        svm_implicit_hate_test200            53      89      22          26            111   9.633963e-11
google_genai_gemma4_31b_think_high_implicit_hate                  tfidf_xgb_implicit_hate_test200            61      85      26          18            111   1.698630e-08
multilabel_gemini31_flash_think_high_implicit_ha emb_umap_head_logreg_implicit_hate_traintier5000            55      90      20          25            110   8.637552e-12
self_debate_gemini31_flash_think_high_implicit_h emb_umap_head_logreg_implicit_hate_traintier5000            54      89      21          26            110   3.765177e-11
google_genai_gemini31_flash_think_high_implicit_                  tfidf_xgb_implicit_hate_test200            61      83      26          20            109   4.012118e-08
google_genai_gemini31_flash_think_high_implicit_ emb_umap_head_logreg_implicit_hate_trainseed100_            60      84      25          21            109   1.215960e-08
self_debate_gemini31_flash_think_high_implicit_h emb_umap_head_logreg_implicit_hate_trainseed100_            60      83      25          22            108   1.882934e-08
