,google_genai_gemma4_31b_think_high_pubmed_20k_rc,multilabel_gemini31_flash_think_high_pubmed_20k_,setfit_pubmed_20k_rct_trainseed100_test200,google_genai_gemma3_27b_pubmed_20k_rct_bs3_train,google_genai_gemma3_27b_pubmed_20k_rct_bs10_trai,google_genai_gemma3_27b_pubmed_20k_rct_bs5_train,emb_umap_head_xgb_pubmed_20k_rct_traintier5000_t,emb_umap_head_knn_pubmed_20k_rct_traintier5000_t,svm_pubmed_20k_rct_test200,emb_umap_head_logreg_pubmed_20k_rct_trainseed100,emb_umap_head_knn_pubmed_20k_rct_trainseed100_te,gemma_pubmed_20k_rct_test200,emb_umap_head_xgb_pubmed_20k_rct_trainseed100_te,emb_umap_head_logreg_pubmed_20k_rct_traintier500,tfidf_xgb_pubmed_20k_rct_test200
google_genai_gemma4_31b_think_high_pubmed_20k_rc,1.0,0.7022149302707137,0.49884139602866195,0.4862410378968932,0.4642857142857143,0.48488022434706224,0.24336564998938504,0.25176813202052417,0.25730361393637746,0.20304114490160996,0.22219159200551342,0.19582046030478706,0.18806090551578092,0.17656759760513396,0.07200964145827049
multilabel_gemini31_flash_think_high_pubmed_20k_,0.7022149302707137,1.0,0.4548221143395407,0.5420408163265306,0.5099840661762214,0.4844273105407325,0.22889899909008193,0.21986913389150786,0.2848791748892282,0.1788380395975332,0.20178083152212,0.23573014517506408,0.16238427129928223,0.17888365837256226,0.04463208685162845
setfit_pubmed_20k_rct_trainseed100_test200,0.49884139602866195,0.4548221143395407,1.0,0.367254908923055,0.3237562057674025,0.30504369800989783,0.2776807544533705,0.2819184368292501,0.40828689120426465,0.3061892972767092,0.24081993806223256,0.15330339961513806,0.15174424883896742,0.23342474592676243,0.07620528771384139
google_genai_gemma3_27b_pubmed_20k_rct_bs3_train,0.4862410378968932,0.5420408163265306,0.367254908923055,1.0,0.7052275418710878,0.7185977260422306,0.16098756785151458,0.15727328894075654,0.17892253244199763,0.16968395213255594,0.2935849056603774,0.3275109170305678,0.17803816538332773,0.14452668484612385,0.03806205186624667
google_genai_gemma3_27b_pubmed_20k_rct_bs10_trai,0.4642857142857143,0.5099840661762214,0.3237562057674025,0.7052275418710878,1.0,0.827178729689808,0.16359447004608307,0.07815548937044248,0.1686296836636657,0.1550400936091132,0.20767494356659155,0.32092770552480554,0.1670873296314992,0.13031773582232298,0.04820403258111883
google_genai_gemma3_27b_pubmed_20k_rct_bs5_train,0.48488022434706224,0.4844273105407325,0.30504369800989783,0.7185977260422306,0.827178729689808,1.0,0.12596454640250265,0.06791744840525316,0.20070821529745053,0.15346991825426692,0.216750784340472,0.2931937172774869,0.17027054208991255,0.11454628684108581,0.0559167750325098
emb_umap_head_xgb_pubmed_20k_rct_traintier5000_t,0.24336564998938504,0.22889899909008193,0.2776807544533705,0.16098756785151458,0.16359447004608307,0.12596454640250265,1.0,0.5288693906383612,0.1930553857439785,0.26959965829223786,0.22547789504760496,0.028280902446774836,0.186252045826514,0.5521651519513098,0.05013706535853413
emb_umap_head_knn_pubmed_20k_rct_traintier5000_t,0.25176813202052417,0.21986913389150786,0.2819184368292501,0.15727328894075654,0.07815548937044248,0.06791744840525316,0.5288693906383612,1.0,0.1313470415442719,0.24485679709560315,0.18245888801879406,0.0616762945795426,0.14741816908804495,0.33277169334456613,0.013096834072393593
svm_pubmed_20k_rct_test200,0.25730361393637746,0.2848791748892282,0.40828689120426465,0.17892253244199763,0.1686296836636657,0.20070821529745053,0.1930553857439785,0.1313470415442719,1.0,0.22650020136931137,0.16623672230652486,0.13403835812869702,0.09949673811742776,0.15675815194011877,0.041162227602905554
emb_umap_head_logreg_pubmed_20k_rct_trainseed100,0.20304114490160996,0.1788380395975332,0.3061892972767092,0.16968395213255594,0.1550400936091132,0.15346991825426692,0.26959965829223786,0.24485679709560315,0.22650020136931137,1.0,0.36762114537444923,0.042337507453786394,0.5131873044255699,0.3324287652645862,0.04059437923979736
emb_umap_head_knn_pubmed_20k_rct_trainseed100_te,0.22219159200551342,0.20178083152212,0.24081993806223256,0.2935849056603774,0.20767494356659155,0.216750784340472,0.22547789504760496,0.18245888801879406,0.16623672230652486,0.36762114537444923,1.0,0.05765938505786472,0.4440154440154441,0.22409070156749367,0.015469613259668558
gemma_pubmed_20k_rct_test200,0.19582046030478706,0.23573014517506408,0.15330339961513806,0.3275109170305678,0.32092770552480554,0.2931937172774869,0.028280902446774836,0.0616762945795426,0.13403835812869702,0.042337507453786394,0.05765938505786472,1.0,0.04573620537031564,0.04794229953330498,-0.010101692624750802
emb_umap_head_xgb_pubmed_20k_rct_trainseed100_te,0.18806090551578092,0.16238427129928223,0.15174424883896742,0.17803816538332773,0.1670873296314992,0.17027054208991255,0.186252045826514,0.14741816908804495,0.09949673811742776,0.5131873044255699,0.4440154440154441,0.04573620537031564,1.0,0.1634539213097439,-0.008034910299923759
emb_umap_head_logreg_pubmed_20k_rct_traintier500,0.17656759760513396,0.17888365837256226,0.23342474592676243,0.14452668484612385,0.13031773582232298,0.11454628684108581,0.5521651519513098,0.33277169334456613,0.15675815194011877,0.3324287652645862,0.22409070156749367,0.04794229953330498,0.1634539213097439,1.0,0.0832654270686718
tfidf_xgb_pubmed_20k_rct_test200,0.07200964145827049,0.04463208685162845,0.07620528771384139,0.03806205186624667,0.04820403258111883,0.0559167750325098,0.05013706535853413,0.013096834072393593,0.041162227602905554,0.04059437923979736,0.015469613259668558,-0.010101692624750802,-0.008034910299923759,0.0832654270686718,1.0
