model_a,model_b,both_correct,a_only,b_only,both_wrong,disagreements,p_value_exact
google_genai_gemma4_31b_think_high_pubmed_20k_rc,tfidf_xgb_pubmed_20k_rct_test200,53,97,15,33,112,7.121860330286232e-16
emb_umap_head_xgb_pubmed_20k_rct_traintier5000_t,gemma_pubmed_20k_rct_test200,34,67,39,58,106,0.008416993570533946
google_genai_gemma4_31b_think_high_pubmed_20k_rc,emb_umap_head_xgb_pubmed_20k_rct_trainseed100_te,60,90,13,35,103,2.4570971290651306e-15
emb_umap_head_logreg_pubmed_20k_rct_trainseed100,gemma_pubmed_20k_rct_test200,32,62,41,63,103,0.0482336521709971
setfit_pubmed_20k_rct_trainseed100_test200,tfidf_xgb_pubmed_20k_rct_test200,53,87,15,43,102,1.6534025083933922e-13
multilabel_gemini31_flash_think_high_pubmed_20k_,tfidf_xgb_pubmed_20k_rct_test200,50,84,18,46,102,2.2569999817319074e-11
google_genai_gemma3_27b_pubmed_20k_rct_bs10_trai,emb_umap_head_knn_pubmed_20k_rct_traintier5000_t,49,52,49,48,101,0.8423820985077438
google_genai_gemma3_27b_pubmed_20k_rct_bs5_train,emb_umap_head_knn_pubmed_20k_rct_traintier5000_t,48,50,50,50,100,1.0
google_genai_gemma4_31b_think_high_pubmed_20k_rc,gemma_pubmed_20k_rct_test200,62,88,11,37,99,4.529579978466477e-16
google_genai_gemma4_31b_think_high_pubmed_20k_rc,emb_umap_head_logreg_pubmed_20k_rct_trainseed100,73,77,21,27,98,1.0892545009628191e-08
emb_umap_head_knn_pubmed_20k_rct_traintier5000_t,gemma_pubmed_20k_rct_test200,37,61,36,64,97,0.014389633007095667
google_genai_gemma3_27b_pubmed_20k_rct_bs3_train,tfidf_xgb_pubmed_20k_rct_test200,40,68,28,62,96,5.459154357711447e-05
google_genai_gemma4_31b_think_high_pubmed_20k_rc,emb_umap_head_logreg_pubmed_20k_rct_traintier500,73,77,17,31,94,2.7046423167464105e-10
google_genai_gemma3_27b_pubmed_20k_rct_bs10_trai,tfidf_xgb_pubmed_20k_rct_test200,38,63,30,67,93,0.0008100087738623599
gemma_pubmed_20k_rct_test200,emb_umap_head_logreg_pubmed_20k_rct_traintier500,35,38,55,70,93,0.09656519729770463
setfit_pubmed_20k_rct_trainseed100_test200,gemma_pubmed_20k_rct_test200,60,80,13,45,93,6.224673473360482e-13
multilabel_gemini31_flash_think_high_pubmed_20k_,emb_umap_head_xgb_pubmed_20k_rct_trainseed100_te,57,77,16,48,93,9.629776957272856e-11
google_genai_gemma4_31b_think_high_pubmed_20k_rc,emb_umap_head_knn_pubmed_20k_rct_traintier5000_t,78,72,20,28,92,4.606251020832626e-08
google_genai_gemma3_27b_pubmed_20k_rct_bs3_train,emb_umap_head_knn_pubmed_20k_rct_traintier5000_t,57,51,41,49,92,0.34814129031920615
emb_umap_head_knn_pubmed_20k_rct_traintier5000_t,tfidf_xgb_pubmed_20k_rct_test200,37,61,31,69,92,0.002314601521425493
setfit_pubmed_20k_rct_trainseed100_test200,emb_umap_head_xgb_pubmed_20k_rct_trainseed100_te,61,79,12,46,91,2.989903040017255e-13
gemma_pubmed_20k_rct_test200,tfidf_xgb_pubmed_20k_rct_test200,25,48,43,82,91,0.6752224599160572
gemma_pubmed_20k_rct_test200,emb_umap_head_xgb_pubmed_20k_rct_trainseed100_te,28,45,45,80,90,1.0
