dataset,model_family,model,train_n,test_n,fit_seconds,infer_seconds,accuracy,macro_f1,weighted_f1,error,few_shot_in_prompt,api_errors
ag_news,ML,xgboost_tfidf,100,5000.0,1.92,0.28,0.3244,0.2927,0.2927,,,
ag_news,ML,xgboost_tfidf,1000,5000.0,1.93,0.26,0.2532,0.109,0.109,,,
ag_news,ML,xgboost_tfidf,5000,5000.0,3.1,0.28,0.254,0.1121,0.1121,,,
ag_news,ML,svm_tfidf,100,5000.0,0.02,0.22,0.6012,0.5967,0.5967,,,
ag_news,ML,svm_tfidf,1000,5000.0,0.12,0.24,0.817,0.8154,0.8154,,,
reward_bench,ML,xgboost_tfidf,100,896.0,4.04,0.24,0.2243,0.1041,0.1703,,,
reward_bench,ML,xgboost_tfidf,1000,896.0,12.98,0.27,0.3783,0.1909,0.2767,,,
reward_bench,ML,xgboost_tfidf,2089,896.0,16.72,0.25,0.1629,0.0492,0.118,,,
reward_bench,ML,svm_tfidf,100,896.0,0.02,0.04,0.5123,0.3313,0.4728,,,
reward_bench,ML,svm_tfidf,1000,896.0,0.15,0.05,0.6451,0.4592,0.6212,,,
glue_sst2,ML,xgboost_tfidf,100,872.0,0.34,0.03,0.469,0.4564,0.4549,,,
glue_sst2,ML,xgboost_tfidf,1000,872.0,0.73,0.03,0.5424,0.529,0.5276,,,
glue_sst2,ML,xgboost_tfidf,5000,872.0,1.79,0.04,0.5872,0.5274,0.5305,,,
glue_sst2,ML,svm_tfidf,100,872.0,0.0,0.02,0.5298,0.5286,0.5291,,,
glue_sst2,ML,svm_tfidf,1000,872.0,0.03,0.02,0.6812,0.6803,0.6806,,,
tweet_eval_sentiment,ML,xgboost_tfidf,100,5000.0,0.94,0.13,0.3678,0.3533,0.3778,,,
tweet_eval_sentiment,ML,xgboost_tfidf,1000,5000.0,2.28,0.14,0.3428,0.2975,0.3307,,,
tweet_eval_sentiment,ML,xgboost_tfidf,5000,5000.0,9.9,0.15,0.2836,0.2758,0.2736,,,
tweet_eval_sentiment,ML,svm_tfidf,100,5000.0,0.01,0.1,0.3972,0.333,0.3696,,,
tweet_eval_sentiment,ML,svm_tfidf,1000,5000.0,0.06,0.11,0.44,0.3894,0.4181,,,
lex_glue_scotus,,xgboost_tfidf,100,,,,,,,"Invalid classes inferred from unique values of `y`.  Expected: [ 0  1  2  3  4  5  6  7  8  9 10 11], got [ 0  1  2  3  5  6  7  8  9 10 11 12]",,
lex_glue_scotus,ML,xgboost_tfidf,1000,1400.0,170.16,20.93,0.4407,0.131,0.3629,,,
lex_glue_scotus,ML,xgboost_tfidf,5000,1400.0,298.13,20.99,0.1586,0.0211,0.0434,,,
lex_glue_scotus,ML,svm_tfidf,100,1400.0,1.74,19.84,0.5636,0.2924,0.5098,,,
lex_glue_scotus,ML,svm_tfidf,1000,1400.0,17.09,20.07,0.6893,0.5136,0.6616,,,
ag_news,BERT,setfit_MiniLM,100,5000.0,1459.98,3.62,0.8684,0.8687,0.8687,,,
ag_news,BERT,setfit_MiniLM,1000,5000.0,1464.54,3.62,0.886,0.8857,0.8857,,,
reward_bench,BERT,setfit_MiniLM,100,896.0,2641.05,0.95,0.6362,0.4373,0.6069,,,
reward_bench,BERT,setfit_MiniLM,1000,896.0,2688.4,0.98,0.7199,0.5517,0.7106,,,
glue_sst2,BERT,setfit_MiniLM,100,872.0,941.96,0.35,0.7374,0.7373,0.7372,,,
glue_sst2,BERT,setfit_MiniLM,1000,872.0,953.26,0.33,0.8245,0.8242,0.8244,,,
tweet_eval_sentiment,BERT,setfit_MiniLM,100,5000.0,971.39,1.98,0.5692,0.565,0.5711,,,
tweet_eval_sentiment,BERT,setfit_MiniLM,1000,5000.0,1003.29,1.99,0.6214,0.6169,0.6216,,,
ag_news,LLM,gemini-3.1-flash-lite-preview,30,30.0,,68.18,0.9333,0.9329,0.9307,,5.0,0.0
ag_news,LLM,gemma-3-4b-it,30,30.0,,61.13,0.8667,0.8639,0.8615,,5.0,0.0
reward_bench,LLM,gemini-3.1-flash-lite-preview,30,30.0,,64.54,0.6667,0.5167,0.6633,,5.0,0.0
reward_bench,LLM,gemma-3-4b-it,30,30.0,,32.27,0.7,0.5175,0.6722,,5.0,0.0
glue_sst2,LLM,gemini-3.1-flash-lite-preview,30,30.0,,85.85,1.0,1.0,1.0,,5.0,0.0
glue_sst2,LLM,gemma-3-4b-it,30,30.0,,34.1,1.0,1.0,1.0,,5.0,0.0
tweet_eval_sentiment,LLM,gemini-3.1-flash-lite-preview,30,30.0,,79.88,0.9,0.8983,0.9009,,5.0,0.0
tweet_eval_sentiment,LLM,gemma-3-4b-it,30,30.0,,32.2,0.7333,0.7211,0.7291,,5.0,0.0
lex_glue_scotus,LLM,gemini-3.1-flash-lite-preview,30,30.0,,81.02,0.4667,0.2897,0.419,,5.0,0.0
lex_glue_scotus,LLM,gemma-3-4b-it,30,30.0,,183.3,0.0333,0.014,0.041,,5.0,0.0
